Država,GDP rast (v odstotkih),Populacija,GDP na prebivalca (v dolarjih),Delež svetovnega GDP (v odstotkih)
United States,2.89,343477335,80706,26.11
China,5.25,1422584933,12509,16.76
Germany,-0.27,84548231,53528,4.26
Japan,1.68,124370947,33806,3.96
India,8.15,1438069596,2481,3.36
United Kingdom,0.34,68682962,49224,3.18
France,0.94,66438822,45934,2.87
Italy,0.7,59499453,38672,2.17
Brazil,2.91,211140729,10295,2.05
Canada,1.25,39299105,54517,2.02
Russia,3.6,145440500,13899,1.90
Mexico,3.2,129739759,13790,1.69
Australia,3.44,26451124,65330,1.63
South Korea,1.36,51748739,33098,1.61
Spain,2.68,47911579,33814,1.53
Indonesia,5.05,281190067,4876,1.29
Netherlands,0.07,18092524,63803,1.09
Turkey,5.11,87270501,12814,1.05
Saudi Arabia,-0.76,33264292,32094,1.01
Switzerland,0.72,8870561,99761,0.83
Poland,0.14,38762844,20876,0.76
Argentina,-1.61,45538401,14187,0.61
Belgium,1.25,11712893,55049,0.61
Sweden,-0.31,10551494,55439,0.55
Ireland,-5.53,5196630,106106,0.52
Thailand,1.89,71702435,7182,0.49
United Arab Emirates,3.62,10642081,48311,0.48
Israel,2.42,9256314,55488,0.48
Austria,-0.95,9130429,56042,0.48
Singapore,1.07,5789090,86616,0.47
Norway,0.48,5519167,87932,0.46
Bangladesh,5.78,171466990,2551,0.41
Philippines,5.55,114891199,3805,0.41
Vietnam,5.05,100352192,4282,0.40
Denmark,2.5,5948136,68440,0.38
Iran,5.04,90608707,4466,0.38
Malaysia,3.56,35126298,11379,0.38
Egypt,3.76,114535772,3457,0.37
Hong Kong,3.28,7442734,51166,0.36
South Africa,0.7,63212384,6023,0.36
Nigeria,2.86,227882945,1597,0.34
Colombia,0.61,52321152,6947,0.34
Romania,2.4,19118479,18347,0.33
Czech Republic (Czechia),-0.09,10809716,31750,0.32
Pakistan,-0.04,247504495,1365,0.32
Chile,0.22,19658835,17068,0.32
Finland,-1.16,5601185,52762,0.28
Portugal,2.53,10430738,27718,0.27
Peru,-0.55,33845617,7907,0.25
Kazakhstan,5.1,20330104,12919,0.25
New Zealand,0.73,5172836,48750,0.24
Iraq,-2.94,45074049,5565,0.24
Algeria,4.1,46164219,5364,0.23
Greece,2.33,10242908,23772,0.23
Qatar,1.19,2979082,71500,0.20
Hungary,-0.91,9686463,21926,0.20
Ukraine,5.32,37732836,4737,0.17
Kuwait,-3.64,4838782,33832,0.15
Ethiopia,6.5,128691692,1272,0.15
Morocco,3.4,37712505,3829,0.14
Slovakia,1.38,5518055,24086,0.13
Dominican Republic,2.36,11331265,10718,0.11
Ecuador,2.36,17980083,6610,0.11
Sudan,-20.11,50042791,2183,0.10
Oman,1.31,5049269,21550,0.10
Kenya,5.56,55339003,1952,0.10
Guatemala,3.53,18124838,5763,0.098
Bulgaria,1.89,6795803,15069,0.096
Uzbekistan,6.29,35652307,2850,0.096
Costa Rica,5.11,5105525,16942,0.081
Luxembourg,-1.1,665098,128936,0.081
Angola,1,36749906,2308,0.080
Croatia,3.3,3896023,21662,0.079
Sri Lanka,-2.3,22971617,3672,0.079
Panama,7.4,4458759,18686,0.078
Serbia,3.85,6773201,12009,0.077
Lithuania,0.34,2854099,27956,0.075
Tanzania,5.07,66617606,1187,0.074
CÃ´te d'Ivoire,6.2,31165654,2531,0.074
