Država,Odstotek pridobljene obnovljive energije
Albania,100
Bhutan,100
Central African Republic,100
DR Congo,100
Ethiopia,100
Lesotho,100
Nepal,100
Paraguay,100
Iceland,100
Costa Rica,100
Norway,99
Namibia,98
Uganda,97
Eswatini,96
Malawi,96
Sierra Leone,95
Tajikistan,93
Uruguay,92
El Salvador,91
Kenya,90
Luxembourg,89
Zambia,89
Brazil,89
Belize,89
New Zealand,88
Greenland,87
Denmark,87
Afghanistan,87
Kyrgyzstan,86
Austria,85
Lithuania,84
Mozambique,84
Venezuela,78
Latvia,78
Ecuador,77
Laos,77
Angola,76
Georgia,76
Guinea,75
Guatemala,75
Portugal,75
French Guiana,71
Sudan,70
Croatia,70
Sweden,69
Burundi,69
Zimbabwe,68
Canada,67
Colombia,66
Chile,65
Nicaragua,65
Cameroon,64
Fiji,63
North Korea,63
Switzerland,63
Panama,62
Honduras,62
Montenegro,60
Rwanda,57
Peru,55
Germany,53
Spain,51
Finland,51
Cook Islands,50
Romania,50
Greece,50
Estonia,49
Gabon,48
Lebanon,47
United Kingdom,47
Netherlands,47
Faroe Islands,46
Ireland,45
Italy,45
Cambodia,45
Suriname,43
Vietnam,43
Mali,43
Turkey,42
Macau,41
Slovenia,41
Bosnia and Herzegovina,40
Samoa,40
Ghana,39
Myanmar,38
Madagascar,35
Serbia,35
Bolivia,35
Djibouti,35
Australia,35
Guadeloupe,35
Réunion,34
Argentina,34
French Polynesia,34
North Macedonia,34
Palestine,33
Liberia,33
Belgium,33
Equatorial Guinea,31
Ivory Coast,31
China,31
Cape Verde,28
Armenia,28
Mauritania,27
Poland,27
France,27
Hungary,26
New Caledonia,26
Martinique,26
Tanzania,26
Pakistan,25
Bulgaria,25
Kiribati,25
Vanuatu,25
Papua New Guinea,24
Jordan,23
Nigeria,23
Slovakia,23
United States,23
Philippines,22
Japan,22
Senegal,22
Morocco,22
Mexico,21
Congo,21
Togo,21
Cyprus,20
India,20
Malaysia,19
Somalia,19
Haiti,19
Indonesia,19
Russia,18
Mauritius,17
Burkina Faso,17
Dominican Republic,17
Aruba,17
Yemen,17
Ukraine,17
Thailand,16
Czech Republic,15
Seychelles,14
Tonga,14
Malta,14
Dominica,13
Saint Vincent and the Grenadines,13
Jamaica,13
Kazakhstan,13
South Africa,13
Moldova,12
Kosovo,11
Eritrea,11
Egypt,11
São Tomé and Príncipe,11
Israel,11
Mongolia,10
Uzbekistan,9
Solomon Islands,9
South Korea,9
Taiwan,9
United Arab Emirates,8
Barbados,8
Guam,8
Maldives,7
South Sudan,7
Guyana,7
Azerbaijan,7
Iran,6
Antigua and Barbuda,6
Puerto Rico,5
Chad,5
Cuba,5
Saint Kitts and Nevis,5
Singapore,5
Syria,4
Oman,4
Tunisia,4
Belarus,3
Benin,3
U.S. Virgin Islands,3
Cayman Islands,3
Niger,2
Saint Lucia,2
Kuwait,2
Bangladesh,2
Bermuda,2
Saudi Arabia,1
Iraq,1
Bahamas,1
Hong Kong,1
Algeria,0.9
Botswana,0.4
Qatar,0.3
Bahrain,0.2
Trinidad and Tobago,0.1
Turkmenistan,0.03
Libya,0.03
American Samoa,0
Brunei,0
Comoros,0
Falkland Islands,0
Gambia,0
Gibraltar,0
Grenada,0
Guinea-Bissau,0
Montserrat,0
Nauru,0
"Saint Helena, Ascension and Tristan da Cunha",0
Saint Pierre and Miquelon,0
Timor-Leste,0
Turks and Caicos Islands,0
British Virgin Islands,0
