Država,Porabljena energija na državo (letno),Odstotek porabe energije (svetovno),Porabljena energija na prebivalca (letno)
China,"138,689,472,800,000",23.81,98197
United States,"97,661,161,460,000",16.77,293979
Russia,"32,832,743,720,001",5.64,224594
India,"30,476,788,610,000",5.23,22415
Japan,"19,402,928,820,000",3.33,152701
Canada,"15,062,124,200,000",2.59,409202
Germany,"14,062,539,590,000",2.41,169216
South Korea,"12,659,085,870,000",2.17,245873
Brazil,"12,566,399,560,000",2.16,61388
Iran,"11,599,267,500,000",1.99,136419
Saudi Arabia,"10,997,456,810,000",1.89,357264
France,"10,241,662,730,000",1.76,156877
United Kingdom,"8,190,849,783,001",1.41,123441
Mexico,"7,868,848,622,000",1.35,63767
Indonesia,"7,158,688,937,000",1.23,26777
Italy,"6,771,608,308,000",1.16,112131
Turkey,"6,432,497,777,000",1.10,77422
Australia,"6,127,579,421,000",1.05,247769
Spain,"5,726,408,206,000",0.98,122180
South Africa,"5,672,958,314,000",0.97,98429
Thailand,"5,519,011,566,000",0.95,77558
Taiwan,"4,672,849,385,000",0.80,197726
United Arab Emirates,"4,667,004,234,000",0.80,505397
Poland,"4,334,474,486,001",0.74,113305
Egypt,"4,012,356,526,000",0.69,38693
Netherlands,"3,938,132,686,000",0.68,227436
Argentina,"3,867,523,595,000",0.66,87325
Ukraine,"3,632,194,307,000",0.62,79941
Singapore,"3,630,377,394,000",0.62,647810
Kazakhstan,"3,574,850,089,000",0.61,191661
Malaysia,"3,515,197,470,000",0.60,108642
Vietnam,"3,242,513,713,000",0.56,34068
Pakistan,"3,183,442,105,000",0.55,14258
Belgium,"2,684,685,429,000",0.46,235984
Venezuela,"2,492,568,948,000",0.43,81549
Algeria,"2,398,447,784,000",0.41,57531
Sweden,"2,218,710,262,000",0.38,220595
Qatar,"2,159,502,542,000",0.37,797833
Norway,"1,901,374,555,000",0.33,360327
Iraq,"1,865,888,786,000",0.32,47433
Philippines,"1,832,128,988,000",0.31,16945
Uzbekistan,"1,798,254,680,000",0.31,56515
Czech Republic (Czechia),"1,751,291,794,000",0.30,166136
Turkmenistan,"1,747,505,385,000",0.30,268555
Colombia,"1,660,776,722,000",0.29,34505
Kuwait,"1,591,008,895,000",0.27,382943
Nigeria,"1,540,259,766,000",0.26,7692
Austria,"1,501,633,374,000",0.26,170664
Chile,"1,496,140,520,000",0.26,80616
Bangladesh,"1,417,359,711,000",0.24,8739
Romania,"1,411,400,168,000",0.24,71683
Hong Kong,"1,322,087,609,000",0.23,177583
Finland,"1,227,851,414,000",0.21,222905
Switzerland,"1,171,749,700,000",0.20,138609
Greece,"1,161,715,086,000",0.20,108031
Oman,"1,140,750,863,000",0.20,251411
Peru,"1,118,522,631,000",0.19,35707
Portugal,"1,077,120,037,000",0.18,104263
Israel,"1,054,812,660,001",0.18,126147
Hungary,"1,042,247,455,000",0.18,106508
Belarus,"961,313,106,000",0.17,101236
Trinidad and Tobago,"903,828,800,000",0.16,625374
New Zealand,"902,498,142,000",0.15,187522
Morocco,"819,433,637,000",0.14,23118
Bulgaria,"774,428,141,000",0.13,109450
Denmark,"737,324,404,000",0.13,127893
Slovakia,"726,428,917,000",0.12,133640
Bahrain,"719,864,742,000",0.12,485740
Ecuador,"714,684,386,000",0.12,42643
Serbia,"642,180,713,000",0.11,90787
Ireland,"638,610,418,000",0.11,132760
Azerbaijan,"594,082,525,000",0.10,59596
Libya,"571,901,291,000",0.098,84867
Myanmar,"518,785,351,000",0.089,9997
Paraguay,"518,686,518,000",0.089,81829
Panama,"439,309,187,000",0.075,107182
Jordan,"431,068,663,000",0.074,42120
Tunisia,"408,467,388,000",0.070,35060
Laos,"405,305,758,000",0.070,57751
Cuba,"401,492,995,000",0.069,35695
Syria,"394,608,300,000",0.068,20526
Sri Lanka,"383,419,865,000",0.066,17359
Lebanon,"375,787,371,000",0.065,61003
Sudan,"368,304,194,000",0.063,8623
Angola,"362,803,130,000",0.062,12000
Croatia,"350,684,597,000",0.060,85969
Bolivia,"343,353,846,000",0.059,30266
Dominican Republic,"340,462,946,000",0.058,31918
North Korea,"330,338,632,000",0.057,12795
Ethiopia,"323,534,822,000",0.056,2950
Kenya,"322,257,801,000",0.055,6550
Guatemala,"316,468,042,000",0.054,19102
Mozambique,"287,958,923,000",0.049,10223
Tanzania,"287,390,572,000",0.049,5164
Slovenia,"283,912,879,000",0.049,137661
Ghana,"273,724,117,000",0.047,9122
Puerto Rico,"264,498,327,000",0.045,78443
Bosnia and Herzegovina,"251,753,830,000",0.043,73426
Georgia,"246,271,262,000",0.042,64930
Kyrgyzstan,"241,995,314,000",0.042,38905
Tajikistan,"225,261,633,000",0.039,24792
Iceland,"221,449,492,000",0.038,644627
Uruguay,"219,406,294,000",0.038,64751
Mongolia,"215,493,720,000",0.037,69416
Costa Rica,"214,062,173,000",0.037,43569
Gibraltar,"192,833,000,000",0.033,5630983
Latvia,"187,516,006,000",0.032,96529
